SNID,ra,dec,u,g,r,i,z,err_u,err_g,err_r,err_i,err_z,redshift
15558,337.493537194,0.953438628498,21.71847,21.10963,20.58568,20.55564,20.15505,0.2108289,0.049714,0.04875288,0.0738369,0.1887871,0.3059364
15587,54.417948683,0.998370820449,20.48172,19.48767,18.6375,18.2329,18.0262,0.1157829,0.01879021,0.01396185,0.0139455,0.04084425,0.2187873
15648,313.718799031,-0.195816658847,21.25633,19.019,17.70221,17.15433,16.75867,0.1734672,0.01332061,0.007726015,0.007242851,0.01753072,0.1750174
15663,336.407243537,1.22950167953,24.28098,21.50898,20.20475,19.74578,19.48979,1.548751,0.07623161,0.03408459,0.03294525,0.09429102,0.2921451
15719,37.6480091201,1.10343750006,23.78769,21.92949,20.73793,20.37209,19.85448,0.8165693,0.09077247,0.04338051,0.04713604,0.0982596,0.2686038
15765,32.8479794542,0.246234089005,21.74191,19.81587,18.19352,17.59735,17.23937,0.3707394,0.027025,0.01183403,0.01031317,0.02816906,0.3048038
15784,356.673703968,-0.615839233194,21.24746,19.99086,19.16414,18.83862,18.55729,0.1739755,0.02691596,0.02118308,0.02241606,0.06076745,0.2775915
15806,24.0923410326,-0.83065859006,21.84523,20.38853,19.13885,18.67033,18.24498,0.2147096,0.03178619,0.01684139,0.01598053,0.03469588,0.2517663
15829,323.085618302,-0.762264027865,23.70585,22.56979,21.92245,21.9996,21.15328,0.6448272,0.1104767,0.09105913,0.1419383,0.2580101,0.2488676
15866,338.780817599,0.968089281773,22.36848,19.41197,18.04099,17.51141,17.17592,0.5963822,0.02015452,0.01000398,0.009693076,0.02375315,0.1900441
15901,31.9763074546,-0.535345761852,22.22333,20.62304,19.94256,19.5742,19.63536,0.5031905,0.04958784,0.04649368,0.0465816,0.1794566,0.2048369
15909,11.3147957044,0.796992455909,21.61477,19.65402,18.32385,17.80452,17.44828,0.2050159,0.01895085,0.009584619,0.009845225,0.02269415,0.2180951
15950,6.1888021088,0.984067364816,19.48429,18.2627,17.3819,16.95086,16.67101,0.06532914,0.01058523,0.007473453,0.007977675,0.01993542,0.2204248
15971,40.112628785,0.526270906728,22.99298,21.00706,19.43282,18.83652,18.44224,0.5593802,0.0538096,0.02049347,0.01948476,0.04336409,0.3158816
16021,13.843850377,-0.389217575695,20.62226,19.27304,18.60711,18.29995,18.05643,0.1103493,0.01815444,0.01549596,0.02189176,0.06560408,0.1246406
16069,341.245051863,-1.00638340204,19.64487,18.32551,17.5626,17.09153,16.77315,0.05409753,0.009064995,0.006977239,0.006902439,0.01703018,0.1287653
16073,8.10767400848,-1.05390438816,21.16495,20.3121,19.8151,19.45468,19.14653,0.1110927,0.03051502,0.02780641,0.0270719,0.0706811,0.1547316
16093,350.362237568,1.13260677725,22.45509,21.41924,20.46873,20.25119,19.70684,0.4846051,0.07450777,0.04971389,0.06365234,0.1538006,0.3360659
16116,355.302194458,-1.1059673808,21.62949,20.83936,20.2515,20.01706,19.70577,0.1518488,0.04015394,0.03200968,0.04013203,0.1140622,0.1565076
16163,31.4991765346,-0.855823688672,20.28231,18.85295,18.06632,17.65718,17.44843,0.09023979,0.01330096,0.009985456,0.01008281,0.02870564,0.1550528
16185,16.8681005404,-0.269343622389,22.38743,20.68722,19.77323,19.39095,19.06293,0.2335301,0.02973523,0.020231,0.01905633,0.05072315,0.1013589
16199,332.944443192,1.1346432744,22.9813,22.00073,20.91145,20.5493,20.64521,0.6454437,0.1203682,0.06607471,0.06894406,0.2743901,0.2823848
16206,5.78831913098,-0.0535803311223,21.13296,19.27135,18.12848,17.66376,17.29963,0.1508764,0.01519904,0.009270299,0.008706456,0.02150835,0.1597272
16237,23.0104581779,-0.623574333224,22.48294,21.76423,20.51832,20.29492,19.92259,0.6749735,0.130668,0.06897125,0.08510844,0.2241157,0.3132049
16298,330.411594341,0.576148478962,24.5059,21.44714,20.35924,19.72324,19.20196,1.266227,0.07263321,0.04019753,0.03745965,0.0815284,0.282786995172501
16393,326.500962394,-0.0609668923678,22.45592,21.21502,19.71323,19.12337,18.68081,0.3664353,0.05850219,0.02683832,0.02323134,0.06178886,0.3164139
16405,356.103625694,0.367852548962,21.3526,20.14222,18.92753,18.46678,18.23532,0.2472295,0.03184543,0.01781812,0.01624558,0.05324284,0.2757176
16460,11.0094590906,-0.230307299611,23.03919,22.26328,21.63637,21.53982,20.96816,0.479885,0.1289366,0.1108247,0.1416426,0.3257985,0.2819945
1658,357.504875779,0.649900767003,23.04808,21.46823,20.84993,20.55556,20.87375,0.6439902,0.07692572,0.06973024,0.08723197,0.359376,0.2772804
16590,320.174794578,0.696107553422,22.28694,20.65818,19.93845,19.74566,19.19796,0.2674047,0.03309726,0.02435509,0.02964737,0.06511652,0.306369990110397
16739,321.508784773,-1.05314813199,22.19411,21.24282,20.27323,19.84512,19.74213,0.3318264,0.07192981,0.03930093,0.03984474,0.1417049,0.265681
17168,339.723619133,-1.16723286854,21.47048,20.40009,19.83642,19.58957,19.49631,0.2337051,0.04237656,0.03714581,0.04419122,0.1513507,0.1851818
17186,31.6116676002,-0.900068918229,22.9437,21.64913,21.5373,21.83385,21.32966,0.4926415,0.07321952,0.09933499,0.183116,0.4515783,0.0788358
