GAL,redshift,stellarmass,absmag_u,absmag_g,absmag_r,absmag_i,absmag_z
19449,0.330939,8.51379e+09,-19.0414,-19.8498,-20.2891,-20.4224,-20.5500
19652,0.245992,1.09852e+10,-18.9298,-20.0481,-20.5786,-20.6550,-21.2344
19708,0.237433,5.02602e+10,-18.5879,-20.6115,-21.3903,-21.7448,-22.0555
19769,0.252555,1.08599e+10,-18.6789,-19.8302,-20.4145,-20.5192,-20.8037
19772,0.175175,4.65225e+10,-18.8766,-20.5917,-21.3535,-21.7036,-22.0361
19775,0.138092,1.55130e+10,-17.1691,-19.2032,-20.0795,-20.5249,-20.8573
19818,0.305063,1.70904e+10,-19.3075,-20.3755,-20.8017,-21.0786,-21.2522
19821,0.266108,2.27487e+10,-18.4186,-19.8121,-20.5352,-20.9114,-21.0932
1991,0.315478,1.00206e+10,-19.5443,-20.2237,-20.6038,-20.7388,-20.7582
19953,0.123241,3.50848e+09,-18.3360,-19.3430,-19.7379,-19.8072,-19.8949
19968,0.0559673,2.43533e+10,-18.2203,-19.9504,-20.6745,-20.9828,-21.2914
19969,0.175242,2.02805e+10,-19.6836,-20.7818,-21.2552,-21.4193,-21.6677
19990,0.249824,2.31228e+10,-18.7183,-19.7990,-20.5883,-20.9882,-21.2914
20046,0.263987,1.08007e+10,-18.5657,-19.4974,-20.1275,-20.4153,-20.8012
20048,0.185319,3.44987e+10,-18.1277,-19.9176,-20.8948,-21.3208,-21.7072
20064,0.104879,7.67690e+10,-19.0763,-20.9245,-21.8291,-22.2936,-22.7166
20065,0.309856,1.06838e+11,-17.8850,-21.8254,-22.5016,-22.8004,-23.1071
20084,0.139721,1.04006e+09,-16.5449,-16.7555,-18.1254,-17.0242,-18.3864
20088,0.244561,9.87676e+10,-20.0961,-21.4765,-22.2561,-22.6331,-22.9938
20104,0.178292,1.96135e+09,-16.7278,-17.8286,-18.4371,-18.7432,-18.9121
20111,0.244213,4.95406e+10,-19.8168,-20.5648,-21.3699,-21.7493,-22.0734
20125,0.166127,6.71101e+10,-19.0231,-20.8892,-21.6719,-22.0235,-22.3070
20232,0.217736,7.46776e+10,-19.3903,-20.9481,-21.7957,-22.2082,-22.5767
20319,0.318755,3.48504e+10,-19.4907,-20.6394,-21.2271,-21.5272,-21.6930
20364,0.218458,1.34807e+10,-18.1581,-19.7540,-20.4073,-20.7494,-21.0473
20386,0.307786,1.64737e+11,-19.6280,-21.7332,-22.5887,-23.0362,-23.3632
20400,0.293694,5.12433e+10,-19.1688,-20.6493,-21.4535,-21.8904,-22.2390
20467,0.270945,9.41263e+09,-18.0651,-19.3578,-19.9698,-20.3028,-20.7013
20528,0.135746,7.04630e+10,-19.3090,-21.0664,-21.8995,-22.3265,-22.6674
20545,0.189457,1.97357e+10,-18.9204,-20.2679,-20.8870,-21.1514,-21.3980
20575,0.198706,1.23207e+11,-19.3862,-21.5071,-22.3191,-22.6913,-23.0350
20578,0.290360,1.98409e+11,-19.7208,-21.7902,-22.7817,-23.2332,-23.5881
20625,0.107964,3.56089e+10,-19.5024,-20.7973,-21.3936,-21.6563,-21.9204
20663,0.299630,3.60400e+10,-19.3161,-20.5205,-21.2223,-21.5636,-21.8635
20722,0.301338,5.01103e+10,-19.6178,-20.8425,-21.4955,-21.8231,-21.9609
20750,0.305629,9.89307e+10,-18.7749,-21.2873,-22.0929,-22.4824,-22.7905
20764,0.165948,5.72994e+10,-19.7886,-21.1636,-21.8407,-22.1531,-22.4356
20768,0.238524,3.16212e+10,-15.3627,-20.3259,-20.8089,-21.1730,-21.6817
2081,0.251675,1.63522e+10,-19.3452,-20.3269,-20.8352,-21.0242,-21.5081
20882,0.314263,2.32075e+10,-18.5070,-20.1594,-20.8970,-21.0899,-21.2288
21015,0.329338,5.33044e+10,-19.5585,-20.9480,-21.6400,-22.0287,-22.3639
